Definition: Grid Imported = Grid To Home + Grid To Storage; Utilized PV Energy = Home Usage - Grid Imported; Carbon Reduction = Total Solar Generation × 0.363
Date,Home Usage (kWh),Smart Plug Usage (kWh),Grid Imported (kWh),Grid to Home (kWh),Grid to Storage (kWh),Solar to Home (kWh),Solar to Storage (kWh),Storage Charged Energy (kWh),Storage Discharged Energy (kWh),Storage to Home (kWh),Utilized PV Energy (kWh),Total Solar Generation (kWh),Solar to Grid (kWh),Solarbank 3 E2700 Pro - Total Generation (kWh),Solarbank 3 E2700 Pro - PV1 Generation (kWh),Solarbank 3 E2700 Pro - PV2 Generation (kWh),Solarbank 3 E2700 Pro - PV3 Generation (kWh),Solarbank 3 E2700 Pro - PV4 Generation (kWh),Carbon Reduction (kgCO2/kWh)
01/07/2026,7.06,0.00,1.23,1.23,0.00,3.23,2.57,2.57,2.61,2.60,5.83,5.82,0.02,5.82,1.10,1.85,1.50,1.37,2.11
02/07/2026,7.65,0.00,2.31,2.31,0.00,3.77,1.54,1.54,1.58,1.57,5.34,5.32,0.01,5.32,1.79,1.31,1.19,1.03,1.93
03/07/2026,9.11,0.00,1.76,1.75,0.01,5.08,3.10,3.11,2.34,2.28,7.35,9.03,0.85,9.03,2.43,2.55,2.09,1.96,3.28
04/07/2026,7.36,0.00,2.55,2.55,0.00,2.77,1.26,1.26,2.09,2.04,4.81,4.07,0.04,4.07,1.40,0.90,0.98,0.79,1.48
05/07/2026,10.76,0.00,4.02,4.01,0.01,4.70,3.56,3.57,2.06,2.05,6.74,8.85,0.59,8.85,1.37,2.66,2.53,2.29,3.21
06/07/2026,5.87,0.00,0.44,0.44,0.00,2.42,1.68,1.68,3.03,3.01,5.43,4.10,0.00,4.10,0.95,1.21,1.12,0.82,1.49
07/07/2026,7.68,0.00,5.24,5.24,0.00,2.25,0.20,0.20,0.19,0.19,2.44,2.46,0.01,2.46,0.54,0.64,0.77,0.51,0.89
08/07/2026,8.19,0.00,1.84,1.83,0.01,4.84,2.66,2.67,1.54,1.52,6.35,10.46,2.96,10.46,1.55,3.11,2.96,2.84,3.80
09/07/2026,7.05,0.00,0.34,0.34,0.00,4.48,2.55,2.55,2.24,2.23,6.71,7.75,0.72,7.75,0.84,2.65,2.28,1.98,2.81
10/07/2026,9.06,0.00,0.51,0.51,0.00,5.81,2.50,2.50,2.75,2.74,8.55,9.48,1.17,9.48,2.04,2.53,2.62,2.29,3.44
11/07/2026,3.97,0.00,0.04,0.04,0.00,2.46,2.33,2.33,1.47,1.47,3.93,11.51,6.72,11.51,2.54,3.31,2.82,2.84,4.18
12/07/2026,7.46,0.00,0.36,0.36,0.00,5.25,1.63,1.63,1.86,1.85,7.10,11.38,4.50,11.38,2.38,3.35,2.85,2.80,4.13
13/07/2026,8.79,0.00,1.31,1.31,0.00,4.17,1.97,1.97,3.35,3.31,7.48,8.84,2.70,8.84,2.08,2.37,2.26,2.13,3.21
14/07/2026,10.54,0.00,1.43,1.43,0.00,7.41,2.69,2.69,1.71,1.70,9.11,12.15,2.05,12.15,2.50,3.49,3.12,3.04,4.41
